Inuit_Population_Proportion,Age_60_64_Proportion,Persons_in_Households_Proportion,Age_50_54_Proportion,Population_Density,Retail_Workforce_Proportion,Metis_Population_Proportion,Multiple_Indigenous_Indenities_Population_Proportion,Age_0_14_Proportion,Age_35_39_Proportion,Age_30_34_Proportion,Unit_ID
0,0.0738833,0.022690366,0.074691571,24.22544889,0.055954384,0.004114833,0.000146958,0.174770194,0.053235655,0.05371327,3500
0.000397472,0.082432859,0.017850795,0.078720886,2.337395493,0.05560827,0.049635096,0.001855871,0.140350013,0.050569387,0.050879123,3526
0.000148211,0.068176934,0.023476579,0.076587893,119.5360044,0.060766398,0.008077485,0.000629896,0.175148025,0.06065524,0.061544504,3527
0.000394821,0.058750941,0.009858143,0.085227185,255.9065227,0.061894027,0.007160972,0.000464496,0.179899112,0.064092639,0.06137534,3530
5.75E-05,0.084564469,0.022031042,0.076858492,19.04629947,0.057075984,0.010006268,0.000460058,0.154550839,0.049485022,0.052101604,3533
0.000182395,0.08230584,0.020081713,0.080390691,38.35206307,0.057363295,0.006338234,0,0.158957429,0.049748295,0.051389852,3534
0.000335023,0.091605692,0.025423811,0.082810812,19.75372093,0.059944214,0.009492777,0.000586296,0.128208435,0.044923219,0.045648973,3535
0.0001641,0.052348961,0.013602322,0.078486807,568.9005113,0.06317061,0.003701417,0.000237037,0.195501824,0.06916049,0.055466982,3536
0.000232811,0.063473498,0.016728843,0.078121944,480.5529451,0.059972025,0.005745767,0.00034456,0.162250404,0.060344523,0.064674801,3537
0.000558382,0.079104107,0.020846259,0.082299293,22.52879347,0.059157464,0.020722174,0.001209828,0.148746743,0.052270753,0.052767093,3538
0.000195998,0.074773133,0.022216342,0.079575077,41.30385506,0.055026362,0.014993826,0.000244997,0.164001098,0.052674389,0.054536367,3540
0.000336155,0.071756231,0.028174987,0.079177506,29.1761223,0.057818714,0.012334314,0.000853317,0.147261886,0.057172261,0.060637247,3541
0.000276378,0.080899888,0.016093116,0.074661634,42.18103089,0.054328085,0.010147033,0.000552757,0.154771869,0.053143606,0.055354633,3542
0.00056132,0.085054714,0.019226679,0.084729739,26.36815455,0.064344969,0.013501217,0.000827208,0.144141004,0.048421214,0.048125783,3543
0.000175621,0.062169887,0.015676383,0.075714668,137.3203708,0.058767227,0.005839403,0.000175621,0.164172846,0.061050302,0.065429855,3544
0.00022327,0.073031651,0.021730879,0.078870164,241.5506251,0.061019719,0.009678759,0.000602829,0.149066284,0.053495517,0.053584825,3546
0.000282668,0.081771927,0.022734615,0.085042804,7.310289371,0.065054111,0.043167501,0.001574867,0.141778388,0.050799548,0.052414796,3547
0.00032699,0.068747531,0.018212927,0.07586056,0.181124636,0.057254488,0.068356792,0.002288928,0.192689035,0.055555322,0.055099307,3549
0.001225591,0.058860489,0.01861186,0.078368262,334.8181199,0.056291564,0.010141901,0.00058336,0.166637588,0.063768206,0.066010663,3551
0.000119416,0.054684702,0.006581595,0.078339751,1108.078892,0.061820672,0.002131387,0.000206263,0.183482566,0.067592341,0.066032668,3553
0.000289388,0.079756124,0.022903354,0.074185663,35.92029961,0.063405733,0.013599492,0.000470256,0.143919076,0.051360805,0.055194683,3555
0.00099026,0.072420297,0.014539358,0.082382122,0.167332653,0.060954737,0.049382453,0.000944091,0.172992105,0.056562075,0.056776417,3556
0.000868785,0.075005068,0.030436419,0.077466624,6.89138811,0.056953655,0.031951966,0.001206645,0.160001158,0.054781694,0.062069831,3557
0.000690465,0.075063375,0.023140431,0.086036831,38.15375004,0.061130784,0.012576321,0.000591827,0.161568736,0.053979543,0.053412375,3558
0.000310631,0.069663459,0.019860253,0.083285521,60.22358504,0.066685061,0.021433505,0.00076744,0.159664081,0.057183422,0.057539733,3560
0.00038178,0.072080143,0.017780787,0.082744543,4.220058813,0.061008511,0.04894425,0.001323505,0.153475729,0.05810698,0.057623391,3561
0.000252173,0.075329922,0.024041777,0.07779601,0.314267234,0.057417417,0.030915084,0.001260867,0.155105313,0.054390767,0.056281214,3562
0,0.081920953,0.018916776,0.079011828,2.245408057,0.058352521,0.039678154,0.001339736,0.150900274,0.051976442,0.055319418,3563
0.000308322,0.056768706,0.014582718,0.075109221,390.9315373,0.059272658,0.005278854,0.000327009,0.178238414,0.065607283,0.068400872,3565
0.00013469,0.06108176,0.015081874,0.080174019,59.12171174,0.057748191,0.006027362,0.000420905,0.176679159,0.060088424,0.061199613,3566
0.000137861,0.06533351,0.019922146,0.078330029,215.5442458,0.050845588,0.012307214,0.000614107,0.167388138,0.057713565,0.054693159,3568
6.31E-05,0.059045381,0.008062823,0.083101407,629.8678304,0.061261779,0.001865018,0.000139651,0.17620814,0.061725781,0.056675818,3570
0.00015012,0.066553243,0.01541233,0.077036629,50.97100998,0.053968175,0.006555244,0.00017514,0.182345877,0.058346677,0.057696157,3575
0.000100675,0.056330222,0.014609175,0.074100216,4334.450968,0.051814505,0.002661472,0.000183045,0.145753122,0.071867068,0.082214594,3595
