"Date","Unit_ID","Name_Full","Name_Short","Active"
2020-10-13,3500,"Huron Perth Health Unit","Huron Perth",4
2020-10-13,3526,"The District of Algoma Health Unit","Algoma",4
2020-10-13,3527,"Brant County Health Unit","Brant",26
2020-10-13,3530,"Durham Regional Health Unit","Durham",97
2020-10-13,3533,"Grey Bruce Health Unit","Grey Bruce",8
2020-10-13,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",9
2020-10-13,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",1
2020-10-13,3536,"Halton Regional Health Unit","Halton",174
2020-10-13,3537,"City of Hamilton Health Unit","Hamilton",188
2020-10-13,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",3
2020-10-13,3540,"Chatham-Kent Health Unit","Chatham-Kent",0
2020-10-13,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",12
2020-10-13,3542,"Lambton Health Unit","Lambton",2
2020-10-13,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",8
2020-10-13,3544,"Middlesex-London Health Unit","Middlesex-London",84
2020-10-13,3546,"Niagara Regional Area Health Unit","Niagara",68
2020-10-13,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",1
2020-10-13,3549,"Northwestern Health Unit","Northwestern",2
2020-10-13,3551,"City of Ottawa Health Unit","Ottawa",839
2020-10-13,3553,"Peel Regional Health Unit","Peel",960
2020-10-13,3555,"Peterborough County-City Health Unit","Peterborough",1
2020-10-13,3556,"Porcupine Health Unit","Porcupine",1
2020-10-13,3557,"Renfrew County and District Health Unit","Renfrew",9
2020-10-13,3558,"The Eastern Ontario Health Unit","Eastern",65
2020-10-13,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",128
2020-10-13,3561,"Sudbury and District Health Unit","Sudbury",3
2020-10-13,3562,"Thunder Bay District Health Unit","Thunder Bay",2
2020-10-13,3563,"Timiskaming Health Unit","Timiskaming",0
2020-10-13,3565,"Waterloo Health Unit","Waterloo",96
2020-10-13,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",44
2020-10-13,3568,"Windsor-Essex County Health Unit","Windsor-Essex",58
2020-10-13,3570,"York Regional Health Unit","York",594
2020-10-13,3575,"Southwestern Public Health","Southwestern",6
2020-10-13,3595,"City of Toronto Health Unit","Toronto",2387
2020-10-14,3500,"Huron Perth Health Unit","Huron Perth",3
2020-10-14,3526,"The District of Algoma Health Unit","Algoma",3
2020-10-14,3527,"Brant County Health Unit","Brant",37
2020-10-14,3530,"Durham Regional Health Unit","Durham",120
2020-10-14,3533,"Grey Bruce Health Unit","Grey Bruce",8
2020-10-14,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",9
2020-10-14,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",1
2020-10-14,3536,"Halton Regional Health Unit","Halton",179
2020-10-14,3537,"City of Hamilton Health Unit","Hamilton",182
2020-10-14,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",3
2020-10-14,3540,"Chatham-Kent Health Unit","Chatham-Kent",0
2020-10-14,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",9
2020-10-14,3542,"Lambton Health Unit","Lambton",2
2020-10-14,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",10
2020-10-14,3544,"Middlesex-London Health Unit","Middlesex-London",82
2020-10-14,3546,"Niagara Regional Area Health Unit","Niagara",71
2020-10-14,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",0
2020-10-14,3549,"Northwestern Health Unit","Northwestern",2
2020-10-14,3551,"City of Ottawa Health Unit","Ottawa",832
2020-10-14,3553,"Peel Regional Health Unit","Peel",951
2020-10-14,3555,"Peterborough County-City Health Unit","Peterborough",1
2020-10-14,3556,"Porcupine Health Unit","Porcupine",2
2020-10-14,3557,"Renfrew County and District Health Unit","Renfrew",8
2020-10-14,3558,"The Eastern Ontario Health Unit","Eastern",79
2020-10-14,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",120
2020-10-14,3561,"Sudbury and District Health Unit","Sudbury",3
2020-10-14,3562,"Thunder Bay District Health Unit","Thunder Bay",2
2020-10-14,3563,"Timiskaming Health Unit","Timiskaming",0
2020-10-14,3565,"Waterloo Health Unit","Waterloo",91
2020-10-14,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",43
2020-10-14,3568,"Windsor-Essex County Health Unit","Windsor-Essex",55
2020-10-14,3570,"York Regional Health Unit","York",647
2020-10-14,3575,"Southwestern Public Health","Southwestern",13
2020-10-14,3595,"City of Toronto Health Unit","Toronto",2315
2020-10-15,3500,"Huron Perth Health Unit","Huron Perth",4
2020-10-15,3526,"The District of Algoma Health Unit","Algoma",2
2020-10-15,3527,"Brant County Health Unit","Brant",41
2020-10-15,3530,"Durham Regional Health Unit","Durham",129
2020-10-15,3533,"Grey Bruce Health Unit","Grey Bruce",7
2020-10-15,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",9
2020-10-15,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",1
2020-10-15,3536,"Halton Regional Health Unit","Halton",197
2020-10-15,3537,"City of Hamilton Health Unit","Hamilton",180
2020-10-15,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",3
2020-10-15,3540,"Chatham-Kent Health Unit","Chatham-Kent",0
2020-10-15,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",6
2020-10-15,3542,"Lambton Health Unit","Lambton",11
2020-10-15,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",10
2020-10-15,3544,"Middlesex-London Health Unit","Middlesex-London",80
2020-10-15,3546,"Niagara Regional Area Health Unit","Niagara",61
2020-10-15,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",0
2020-10-15,3549,"Northwestern Health Unit","Northwestern",1
2020-10-15,3551,"City of Ottawa Health Unit","Ottawa",850
2020-10-15,3553,"Peel Regional Health Unit","Peel",964
2020-10-15,3555,"Peterborough County-City Health Unit","Peterborough",2
2020-10-15,3556,"Porcupine Health Unit","Porcupine",3
2020-10-15,3557,"Renfrew County and District Health Unit","Renfrew",12
2020-10-15,3558,"The Eastern Ontario Health Unit","Eastern",90
2020-10-15,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",115
2020-10-15,3561,"Sudbury and District Health Unit","Sudbury",2
2020-10-15,3562,"Thunder Bay District Health Unit","Thunder Bay",2
2020-10-15,3563,"Timiskaming Health Unit","Timiskaming",0
2020-10-15,3565,"Waterloo Health Unit","Waterloo",86
2020-10-15,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",45
2020-10-15,3568,"Windsor-Essex County Health Unit","Windsor-Essex",61
2020-10-15,3570,"York Regional Health Unit","York",640
2020-10-15,3575,"Southwestern Public Health","Southwestern",14
2020-10-15,3595,"City of Toronto Health Unit","Toronto",2245
2020-10-16,3500,"Huron Perth Health Unit","Huron Perth",4
2020-10-16,3526,"The District of Algoma Health Unit","Algoma",1
2020-10-16,3527,"Brant County Health Unit","Brant",46
2020-10-16,3530,"Durham Regional Health Unit","Durham",136
2020-10-16,3533,"Grey Bruce Health Unit","Grey Bruce",8
2020-10-16,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",10
2020-10-16,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",0
2020-10-16,3536,"Halton Regional Health Unit","Halton",192
2020-10-16,3537,"City of Hamilton Health Unit","Hamilton",150
2020-10-16,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",3
2020-10-16,3540,"Chatham-Kent Health Unit","Chatham-Kent",0
2020-10-16,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",10
2020-10-16,3542,"Lambton Health Unit","Lambton",13
2020-10-16,3543,"Leeds, Grenville and Lanark District Health Unit","Leeds, Grenville and Lanark",12
2020-10-16,3544,"Middlesex-London Health Unit","Middlesex-London",78
2020-10-16,3546,"Niagara Regional Area Health Unit","Niagara",59
2020-10-16,3547,"North Bay Parry Sound District Health Unit","North Bay Parry Sound",1
2020-10-16,3549,"Northwestern Health Unit","Northwestern",1
2020-10-16,3551,"City of Ottawa Health Unit","Ottawa",841
2020-10-16,3553,"Peel Regional Health Unit","Peel",939
2020-10-16,3555,"Peterborough County-City Health Unit","Peterborough",1
2020-10-16,3556,"Porcupine Health Unit","Porcupine",3
2020-10-16,3557,"Renfrew County and District Health Unit","Renfrew",13
2020-10-16,3558,"The Eastern Ontario Health Unit","Eastern",95
2020-10-16,3560,"Simcoe Muskoka District Health Unit","Simcoe Muskoka",99
2020-10-16,3561,"Sudbury and District Health Unit","Sudbury",2
2020-10-16,3562,"Thunder Bay District Health Unit","Thunder Bay",2
2020-10-16,3563,"Timiskaming Health Unit","Timiskaming",0
2020-10-16,3565,"Waterloo Health Unit","Waterloo",88
2020-10-16,3566,"Wellington-Dufferin-Guelph Health Unit","Wellington-Dufferin-Guelph",48
2020-10-16,3568,"Windsor-Essex County Health Unit","Windsor-Essex",64
2020-10-16,3570,"York Regional Health Unit","York",674
2020-10-16,3575,"Southwestern Public Health","Southwestern",14
2020-10-16,3595,"City of Toronto Health Unit","Toronto",2379
2020-10-17,3500,"Huron Perth Health Unit","Huron Perth",3
2020-10-17,3526,"The District of Algoma Health Unit","Algoma",1
2020-10-17,3527,"Brant County Health Unit","Brant",44
2020-10-17,3530,"Durham Regional Health Unit","Durham",164
2020-10-17,3533,"Grey Bruce Health Unit","Grey Bruce",6
2020-10-17,3534,"Haldimand-Norfolk Health Unit","Haldimand-Norfolk",10
2020-10-17,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit","Haliburton, Kawartha, Pine Ridge",0
2020-10-17,3536,"Halton Regional Health Unit","Halton",182
2020-10-17,3537,"City of Hamilton Health Unit","Hamilton",144
2020-10-17,3538,"Hastings and Prince Edward Counties Health Unit","Hastings and Prince Edward Counties",3
2020-10-17,3540,"Chatham-Kent Health Unit","Chatham-Kent",0
2020-10-17,3541,"Kingston, Frontenac and Lennox & Addington Health Unit","Kingston, Frontenac, and Lennox & Addington",6
