"Date","Unit_ID","Name_Full","Name_Short","New_Cases","New_Fatal","New_Deaths"
2020-01-23,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-01-24,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-01-25,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-01-26,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-01-27,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-01-28,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-01-29,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-01-30,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-01-31,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-01,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-02,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-03,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-04,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-05,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-06,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-07,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-08,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-09,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-10,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-11,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-12,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-13,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-14,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-15,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-16,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-17,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-18,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-19,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-20,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-21,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-22,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-23,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-24,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-25,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-26,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-27,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-28,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
2020-02-29,3500,"Huron Perth Health Unit","Huron Perth",0,0,0
