Type,Vector,Label,Description,To_Scale,Aggregation,
Population,v_CA16_401,Population,Population as of 2016 census,TRUE,Sum,
Age,v_CA16_379,Age_Average,Average age,FALSE,Mean,
,v_CA16_4,Age_0-14,Total People Aged 0-14,TRUE,Sum,M: 5 F: 6
,v_CA16_64,Age_15-19,Total People Aged 15-19,TRUE,Sum,M: 65 F: 66
,v_CA16_82,Age_20-14,Total People Aged 20-24,TRUE,Sum,M: 83 F: 84
,v_CA16_100,Age_25-29,Total People Aged 25-29,TRUE,Sum,M: 101 F:102
,v_CA16_118,Age_30-34,Total People Aged 30-34,TRUE,Sum,M: 119 F: 120
,v_CA16_136,Age_35-39,Total People Aged 35-39,TRUE,Sum,M: 137 F: 138
,v_CA16_154,Age_40-44,Total People Aged 40-44,TRUE,Sum,M: 155 F: 156
,v_CA16_172,Age_45-49,Total People Aged 45-49,TRUE,Sum,M: 173 F: 174
,v_CA16_190,Age_50-54,Total People Aged 50-54,TRUE,Sum,M: 191 F: 192
,v_CA16_208,Age_55-59,Total People Aged 55-59,TRUE,Sum,M: 209 F: 210
,v_CA16_226,Age_60-64,Total People Aged 60-64,TRUE,Sum,M: 227 F: 228
,v_CA16_247,Age_65-69,Total People Aged 65-69,TRUE,Sum,M: 248 F: 249
,v_CA16_265,Age_70-74,Total People Aged 70-74,TRUE,Sum,M: 266 F: 267
,v_CA16_283,Age_75-79,Total People Aged 75-79,TRUE,Sum,M: 284 F: 285
,v_CA16_301,Age_80-84,Total People Aged 80-84,TRUE,Sum,M: 302 F: 303
,v_CA16_319,Age_Over85,Total People Over 85,TRUE,Sum,M: 320 F: 321
Land Area,v_CA16_407,Land_Area_KM,Land Area in square kilometers,TRUE,Sum,
Household Size,v_CA16_424,Persons_in_Households,Number of persons in private households,TRUE,Sum,
,v_CA16_418,Number_Of_Private_Households,Number of total private households,TRUE,Sum,
Apartment Height,v_CA16_410,Apartment_Greater_Or_Equal_To_Five_Storeys,Occupied private dwelling in apartment building with five or more storeys,TRUE,Sum,
,v_CA16_415,Apartment_Less_Than_Five_Storeys,Occupied private dwelling in apartment building with less than five storeys,TRUE,Sum,
Children,v_CA16_492,Couples_Without_Children,Couples without children in private households,TRUE,Sum,
,v_CA16_493,Couples_With_Children,Couples with children in private households,TRUE,Sum,Can be broken into 1 child (494) 2 (495) >=3(496)
,v_CA16_497,Lone_Parent,Lone parent with children,TRUE,Sum,Can be broken into 1 child (498) 2 (499) >=3(500)
Employment Sector,v_CA16_5699,Total_Workforce,Total employed population,TRUE,Sum,M: 5700 F: 5701
,v_CA16_5720,Retail_Workforce,Total employed population in retail (NAICS: 44-45),TRUE,Sum,"M: 5721, F: 5722"
,v_CA16_5744,Education_Workforce,Total employed population in education (NAICS: 61),TRUE,Sum,"M:5745, F: 5746"
