"Date","Unit_ID","Name_Full","Name_Short","New_Deaths"
2020-03-08,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-09,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-10,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-11,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-12,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-13,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-14,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-15,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-16,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-17,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-18,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-19,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-20,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-21,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-22,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-23,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-24,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-25,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-26,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-27,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-28,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-29,3500,"Huron Perth Health Unit","Huron Perth",0
2020-03-30,3500,"Huron Perth Health Unit","Huron Perth",1
2020-03-31,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-01,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-02,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-03,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-04,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-05,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-06,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-07,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-08,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-09,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-10,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-11,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-12,3500,"Huron Perth Health Unit","Huron Perth",1
2020-04-13,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-14,3500,"Huron Perth Health Unit","Huron Perth",1
2020-04-15,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-16,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-17,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-18,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-19,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-20,3500,"Huron Perth Health Unit","Huron Perth",1
2020-04-21,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-22,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-23,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-24,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-25,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-26,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-27,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-28,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-29,3500,"Huron Perth Health Unit","Huron Perth",0
2020-04-30,3500,"Huron Perth Health Unit","Huron Perth",1
2020-05-01,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-02,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-03,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-04,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-05,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-06,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-07,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-08,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-09,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-10,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-11,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-12,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-13,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-14,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-15,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-16,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-17,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-18,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-19,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-20,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-21,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-22,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-23,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-24,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-25,3500,"Huron Perth Health Unit","Huron Perth",0
2020-05-26,3500,"Huron Perth Health Unit","Huron Perth",0
